,city,Cloudiness,Dates,Humidity,Lat,Lngs,Max Temp,Wind Speed,Country
288,clyde river,5,1580171800,74,70.47,-68.59,-31.0,3.6,CA
289,zalantun,4,1580171801,85,48.0,122.72,-15.69,1.65,CN
290,ocho rios,40,1580171801,69,18.4,-77.1,26.0,2.1,JM
291,timiryazevskoye,40,1580171801,79,56.49,84.88,-2.78,7.0,RU
292,sechura,28,1580171801,81,-5.56,-80.82,24.02,5.63,PE
293,lata,75,1580171638,93,40.16,-8.33,15.0,3.6,PT
294,saint-augustin,100,1580171801,93,51.23,-58.65,-5.97,12.02,CA
295,midland,1,1580171679,22,32.0,-102.08,21.0,6.21,US
296,buraydah,0,1580171801,69,26.33,43.98,3.0,1.4,SA
297,bonavista,94,1580171802,88,48.65,-53.11,2.22,7.15,CA
298,tolaga bay,0,1580171802,83,-38.37,178.3,21.34,4.3,NZ
299,soanierana ivongo,94,1580171802,92,-16.92,49.58,22.17,1.91,MG
300,dubbo,0,1580171802,38,-32.25,148.62,33.0,6.7,AU
301,kaniama,86,1580171802,96,-7.57,24.18,19.7,1.04,CD
302,saint-philippe,20,1580171543,64,-21.36,55.77,22.0,3.6,RE
303,tasiilaq,98,1580171803,58,65.61,-37.64,-2.0,2.1,GL
304,airai,84,1580171804,74,-8.93,125.41,24.86,0.92,TL
305,sao joao da barra,100,1580171052,90,-21.64,-41.05,25.24,4.69,BR
306,pevek,67,1580171804,90,69.7,170.31,-20.09,1.15,RU
307,acapulco,20,1580171644,65,16.86,-99.89,28.0,3.1,MX
308,haftoni,0,1580171804,100,38.76,48.76,-2.0,1.78,AZ
309,padang,95,1580171230,93,-0.95,100.35,20.42,1.49,ID
310,kavaratti,22,1580171261,66,10.57,72.64,26.62,2.94,IN
311,agua verde,5,1580171805,60,22.9,-106.05,24.0,4.6,MX
312,syracuse,5,1580171805,100,37.09,15.28,9.44,2.6,IT
313,broome,90,1580171166,92,42.25,-75.83,1.11,3.6,US
314,athabasca,57,1580171805,82,54.72,-113.29,-4.78,2.34,CA
315,schkeuditz,75,1580171805,81,51.4,12.22,7.22,5.7,DE
316,liwale,76,1580171805,97,-9.77,37.93,22.17,2.87,TZ
317,beloha,1,1580171805,91,-25.17,45.05,21.7,2.0,MG
318,sao felix do xingu,86,1580171805,94,-6.64,-51.99,23.66,2.06,BR
319,auki,96,1580171806,68,-8.77,160.7,29.56,3.29,SB
320,ferme-neuve,94,1580171806,97,46.7,-75.45,-4.42,1.73,CA
321,azul,0,1580171628,42,-36.78,-59.86,20.56,1.34,AR
322,bilma,50,1580171806,12,18.69,12.92,14.68,1.33,NE
323,elizabeth city,90,1580171806,61,36.29,-76.25,11.11,2.6,US
324,paredon,0,1580171806,72,16.03,-93.87,26.89,3.38,MX
325,castle rock,90,1580171622,92,39.37,-104.86,3.89,0.43,US
326,ponta delgada,75,1580171221,93,37.73,-25.67,17.0,7.7,PT
327,maraba,100,1580171807,94,-5.37,-49.12,26.0,1.5,BR
328,goulburn,86,1580171807,32,-34.75,149.72,30.0,3.69,AU
329,muisne,37,1580171807,78,0.6,-80.03,28.0,2.1,EC
330,sulina,100,1580171807,97,45.16,29.65,7.79,2.03,RO
331,leningradskiy,94,1580171807,96,69.38,178.42,-22.89,4.1,RU
332,arys,90,1580171807,100,42.43,68.8,-2.0,2.93,KZ
333,nikel,75,1580171807,83,69.41,30.22,-24.0,2.6,RU
334,valdivia,81,1580171808,73,-39.81,-73.25,21.0,5.1,CL
335,san quintin,0,1580171808,72,30.48,-115.95,16.3,3.55,MX
336,batagay,0,1580171808,69,67.63,134.63,-40.28,0.95,RU
337,isangel,40,1580171209,62,-19.55,169.27,31.0,4.1,VU
338,namibe,99,1580171808,78,-15.2,12.15,24.24,1.16,AO
339,petropavlovsk-kamchatskiy,79,1580171701,77,53.05,158.65,0.0,2.0,RU
340,turukhansk,100,1580171808,89,65.82,87.98,-11.23,6.72,RU
341,anshun,97,1580171808,95,26.25,105.93,0.51,2.51,CN
342,nouakchott,0,1580171702,49,18.09,-15.98,21.0,4.1,MR
343,savannakhet,40,1580171809,82,16.57,104.75,17.0,1.0,LA
344,portland,90,1580170926,93,45.52,-122.68,10.56,8.2,US
345,coihueco,7,1580171809,30,-36.62,-71.83,30.0,3.6,CL
346,mapastepec,11,1580171809,78,15.43,-92.9,24.55,1.82,MX
347,kuvandyk,100,1580171809,92,51.48,57.36,-12.85,6.12,RU
348,stanger,90,1580171809,88,-29.33,31.29,20.56,0.5,ZA
349,awjilah,26,1580171809,28,29.11,21.29,13.72,1.63,LY
350,vostok,0,1580171809,74,46.49,135.88,-8.85,1.07,RU
351,yarmouth,90,1580171810,56,41.71,-70.23,5.56,2.6,US
352,norman wells,75,1580171810,68,65.28,-126.83,-27.0,5.1,CA
353,college,90,1580171229,67,64.86,-147.8,-30.0,1.06,US
354,dandong,100,1580171810,62,40.13,124.39,-0.64,2.38,CN
355,buin,20,1580171810,30,-33.73,-70.75,29.0,3.1,CL
356,mount gambier,100,1580171810,56,-37.83,140.77,21.0,3.6,AU
357,deoband,99,1580171810,87,29.7,77.68,11.99,3.87,IN
358,fukue,75,1580171810,87,32.69,128.84,12.0,4.1,JP
359,najran,5,1580171811,48,17.49,44.13,7.0,0.86,SA
360,virginia beach,75,1580171635,70,36.85,-75.98,10.56,1.5,US
361,owando,65,1580171811,43,-0.48,15.9,23.05,1.03,CG
362,tygda,0,1580171236,96,53.12,126.33,-24.58,2.07,RU
363,khagaria,0,1580171811,81,25.5,86.48,11.59,1.84,IN
364,amahai,20,1580171811,78,-3.33,128.92,28.09,3.89,ID
365,bardiyah,57,1580171811,55,31.76,25.09,14.88,5.23,LY
366,geraldton,0,1580171149,74,-28.77,114.6,26.0,3.1,AU
367,manono,65,1580171812,91,-7.3,27.42,19.92,1.21,CD
368,neryungri,94,1580171812,96,56.67,124.65,-20.29,1.3,RU
369,evensk,100,1580171812,94,61.95,159.23,-7.59,2.52,RU
370,ampanihy,2,1580171812,88,-24.7,44.75,22.75,1.55,MG
371,sydney,75,1580171219,74,-33.87,151.21,30.56,2.1,AU
372,vestmannaeyjar,96,1580171812,67,63.44,-20.27,4.48,9.98,IS
373,zhaotong,98,1580171812,89,27.32,103.72,-2.67,1.59,CN
374,stewarton,75,1580171812,93,55.67,-4.5,2.0,2.1,GB
375,biak,42,1580171765,80,-0.91,122.88,27.43,1.64,ID
376,yatou,99,1580171813,90,37.15,122.38,4.21,3.79,CN
377,garissa,99,1580171813,82,-0.45,39.64,25.2,3.58,KE
378,talaya,63,1580171813,100,61.38,152.75,-20.3,0.39,RU
379,aranos,0,1580171813,15,-24.13,19.12,22.9,5.03,NA
380,manaus,75,1580171054,94,-3.1,-60.02,27.0,3.1,BR
381,bambous virieux,40,1580171813,83,-20.34,57.76,22.22,2.6,MU
382,bridlington,100,1580171624,100,54.08,-0.19,5.0,3.6,GB
383,lasalgaon,0,1580171813,91,20.15,74.23,13.43,3.34,IN
384,lazarev,100,1580171813,91,52.23,141.51,-12.16,0.9,RU
385,rio grande,6,1580171784,83,-32.03,-52.1,19.44,7.38,BR
386,staryy nadym,100,1580171814,96,65.61,72.68,-21.36,7.02,RU
387,mogadishu,78,1580171094,80,2.04,45.34,26.77,11.48,SO
388,dudinka,40,1580171240,77,69.41,86.18,-14.0,10.0,RU
389,pasighat,0,1580171814,63,28.07,95.33,10.24,0.56,IN
390,westport,90,1580171637,56,41.14,-73.36,6.67,4.1,US
391,sabla,0,1580171814,10,12.75,4.71,20.21,4.85,NG
392,pouebo,68,1580171814,46,-20.4,164.57,30.17,2.12,NC
393,talavera de la reina,100,1580171814,96,39.96,-4.83,9.86,5.5,ES
394,nemuro,0,1580171815,62,43.32,145.57,-7.0,1.0,JP
395,bandarbeyla,66,1580171815,68,9.49,50.81,24.63,11.41,SO
396,hovd,0,1580171815,59,48.01,91.64,-14.73,0.94,MN
397,wanning,99,1580171815,92,18.8,110.4,16.17,3.94,CN
398,ostrovnoy,60,1580171815,98,68.05,39.51,-14.27,2.7,RU
399,kendari,28,1580171815,87,-3.94,122.5,27.15,0.9,ID
400,waingapu,21,1580171815,76,-9.66,120.26,28.63,2.38,ID
401,rognan,100,1580171217,63,67.1,15.39,-3.0,15.9,NO
402,cozumel,20,1580171816,74,20.51,-86.95,27.0,1.5,MX
403,krasnoarmeysk,100,1580171816,50,51.02,45.7,-3.89,0.89,RU
404,oistins,20,1580171248,69,13.07,-59.53,26.0,4.6,BB
405,griffith,90,1580171816,97,41.53,-87.42,1.67,0.92,US
406,kismayo,100,1580171816,83,-0.36,42.55,26.87,7.6,SO
407,raga,36,1580171816,23,8.46,25.68,14.62,1.25,SS
408,karpathos,40,1580171816,77,35.51,27.21,15.0,7.2,GR
409,teguldet,100,1580171696,94,57.31,88.17,-4.0,4.9,RU
410,tamandare,98,1580171817,81,-8.76,-35.1,27.37,6.6,BR
411,asmar,83,1580171817,30,35.03,71.36,-2.09,5.37,AF
412,sakakah,32,1580171817,44,29.97,40.21,5.0,2.6,SA
413,kamenka,100,1580171817,95,51.32,42.77,0.56,0.45,RU
414,chacabuco,0,1580171776,64,-34.64,-60.47,17.22,2.9,AR
415,zverinogolovskoye,100,1580171817,94,54.46,64.85,-18.19,2.34,RU
416,port blair,75,1580171817,61,11.67,92.75,24.77,6.61,IN
417,saint-pierre,20,1580171789,64,-21.34,55.48,22.0,3.6,RE
418,anchorage,20,1580171818,65,61.22,-149.9,-13.89,3.6,US
419,pundaguitan,16,1580171818,76,6.37,126.17,27.94,3.03,PH
420,kudahuvadhoo,69,1580171818,73,2.67,72.89,27.28,4.46,MV
421,nome,1,1580171818,69,64.5,-165.41,-25.0,2.1,US
422,homer,75,1580171818,65,59.64,-151.55,-12.0,3.6,US
423,olafsvik,88,1580171818,86,64.89,-23.71,0.23,5.15,IS
424,ocala,90,1580171776,87,29.19,-82.14,18.33,1.47,US
425,dunkirk,83,1580171818,93,51.05,2.37,6.67,5.7,FR
426,neringa,90,1580171819,100,55.37,21.06,2.0,4.0,LT
427,loubomo,100,1580171819,96,-4.2,12.67,23.69,1.02,CG
428,sorland,100,1580171819,78,67.67,12.69,-1.85,11.89,NO
429,waiouru,43,1580171819,60,-39.48,175.67,22.16,3.0,NZ
430,mendi,88,1580171819,87,-6.18,143.65,16.1,1.37,PG
431,ambilobe,100,1580171819,92,-13.2,49.05,23.24,2.77,MG
432,vao,0,1580171819,80,-22.67,167.48,25.58,6.75,NC
433,muzaffarabad,100,1580171820,56,34.37,73.47,0.45,2.93,PK
434,bilibino,100,1580171172,84,68.05,166.44,-17.77,1.12,RU
435,yashan,74,1580171820,75,22.2,109.94,9.09,3.23,CN
436,faya,20,1580171820,39,18.39,42.45,9.0,1.67,SA
437,namatanai,56,1580171231,74,-3.67,152.43,28.87,3.17,PG
438,boa vista,62,1580171234,55,2.82,-60.67,31.0,5.7,BR
439,tiznit,95,1580171821,41,29.58,-9.5,12.96,1.67,MA
440,tuusula,75,1580171821,100,60.42,25.0,3.33,1.5,FI
441,illapel,0,1580171821,61,-31.63,-71.17,16.88,1.44,CL
442,trelew,14,1580171821,9,-43.25,-65.31,27.33,6.16,AR
443,pecos,1,1580171821,26,31.42,-103.49,21.11,8.7,US
444,fort smith,1,1580171821,62,35.39,-94.4,13.0,0.53,US
445,nikolskoye,90,1580171821,85,59.7,30.79,-4.0,3.0,RU
446,coquimbo,75,1580171821,82,-29.95,-71.34,19.0,2.6,CL
447,emba,62,1580171822,91,48.83,58.14,-9.5,8.19,KZ
448,grand gaube,40,1580171822,83,-20.01,57.66,22.22,2.6,MU
449,kabanjahe,40,1580171822,88,3.1,98.49,25.0,2.1,ID
450,malyye derbety,97,1580171822,88,47.95,44.68,-0.97,2.3,RU
451,cairns,75,1580171767,94,-16.92,145.77,27.78,3.6,AU
452,bantry,75,1580171822,59,51.68,-9.45,1.0,4.6,IE
453,taperoa,88,1580171823,53,-7.21,-36.83,28.22,6.82,BR
454,calderitas,40,1580171823,69,18.55,-88.25,27.0,2.6,MX
455,qeshm,0,1580171823,93,26.96,56.27,12.0,1.0,IR
456,isla mujeres,75,1580171823,65,21.23,-86.73,27.0,2.6,MX
457,thunder bay,90,1580171804,85,48.4,-89.32,-6.11,2.1,CA
458,cururupu,100,1580171823,97,-1.83,-44.87,23.8,0.77,BR
459,khandagayty,55,1580171823,91,50.73,92.05,-20.76,0.88,RU
460,xinxiang,18,1580171579,68,35.31,113.87,0.44,0.12,CN
461,sanandaj,0,1580171557,43,35.31,46.99,-8.65,1.19,IR
462,maceio,20,1580170935,88,-9.67,-35.74,25.0,2.6,BR
463,cabinda,100,1580171825,77,-5.55,12.2,27.95,3.26,AO
464,davila,20,1580171825,94,18.47,120.58,21.0,2.6,PH
465,sarangani,74,1580171825,76,5.4,125.46,28.05,3.75,PH
466,nuuk,75,1580171826,85,64.18,-51.72,-11.0,3.1,GL
467,tura,0,1580171827,73,25.52,90.22,12.64,1.71,IN
468,providencia,0,1580171829,47,28.72,-111.58,25.0,4.47,MX
469,kichera,32,1580171832,80,55.94,110.1,-16.35,2.58,RU
470,lompoc,1,1580171832,45,34.64,-120.46,22.22,2.6,US
471,king city,1,1580171834,63,36.21,-121.13,18.33,4.1,US
472,makaha,75,1580171835,54,21.47,-158.22,27.0,4.6,US
473,coihaique,75,1580171839,82,-45.58,-72.07,13.0,3.6,CL
474,vitre,98,1580171841,87,48.12,-1.21,7.0,6.2,FR
475,camopi,100,1580171842,98,3.17,-52.32,22.88,1.5,GF
476,portobelo,75,1580171843,88,9.55,-79.65,26.0,1.5,PA
477,nampula,75,1580171844,94,-15.12,39.27,24.0,2.6,MZ
478,huanren,100,1580171846,71,41.26,125.37,-6.5,0.66,CN
479,eureka,90,1580171847,87,40.8,-124.16,13.33,2.6,US
480,belmonte,20,1580171848,88,-15.86,-38.88,26.0,3.1,BR
481,redmond,90,1580171739,87,47.67,-122.12,10.0,1.5,US
482,antofagasta,90,1580171853,83,-23.65,-70.4,22.22,5.1,CL
483,margate,20,1580171852,93,51.38,1.39,6.11,5.1,GB
484,chatellerault,81,1580171834,93,46.8,0.53,6.67,8.2,FR
485,gusau,0,1580171858,16,12.16,6.66,17.7,4.15,NG
486,cassia,3,1580171860,91,-20.58,-46.92,19.78,0.95,BR
487,san carlos,1,1580171863,40,9.66,-68.58,29.82,0.88,VE
488,zhangjiakou,100,1580171863,88,40.81,114.88,-8.83,2.55,CN
489,gisborne,1,1580171865,50,-38.65,178.0,31.11,2.68,NZ
490,jawhar,49,1580171869,74,2.78,45.5,24.64,6.93,SO
491,velsk,44,1580171872,90,61.07,42.1,-16.59,1.17,RU
492,rabo de peixe,75,1580171875,93,37.8,-25.58,17.0,7.7,PT
493,san carlos de bariloche,75,1580171707,55,-41.15,-71.31,17.0,11.8,AR
494,jumla,83,1580171878,66,29.27,82.18,-5.29,1.72,NP
495,lazaro cardenas,31,1580171880,68,17.96,-102.2,25.93,1.55,MX
496,viedma,17,1580171880,25,-40.81,-63.0,23.35,6.57,AR
497,troitskoye,100,1580171881,91,52.98,84.68,-2.07,5.22,RU
498,ulladulla,75,1580171882,69,-35.35,150.47,27.22,1.5,AU
499,shush,4,1580171883,56,32.19,48.24,9.1,2.64,IR
500,gwadar,0,1580171884,46,25.12,62.33,17.59,10.43,PK
501,tiarei,75,1580171886,70,-17.53,-149.33,30.0,3.6,PF
502,port hardy,75,1580171588,81,50.7,-127.42,7.0,9.8,CA
503,half moon bay,1,1580171890,87,37.46,-122.43,16.11,3.6,US
504,kiama,75,1580171892,69,-34.68,150.87,30.0,1.5,AU
505,hualmay,93,1580171710,81,-11.1,-77.61,21.68,2.37,PE
506,mountain home,75,1580171894,65,43.13,-115.69,8.0,3.1,US
507,lahan,0,1580171895,82,26.73,86.5,12.41,1.15,NP
508,lithgow,0,1580171896,62,-33.48,150.15,30.0,1.5,AU
509,saint-paul,40,1580171896,73,-21.01,55.27,22.0,4.1,RE
510,karasburg,0,1580171897,13,-28.02,18.75,19.27,1.08,NA
511,baykit,100,1580171897,96,61.67,96.37,-13.98,1.13,RU
512,malpe,20,1580171898,88,13.35,74.72,24.0,4.13,IN
513,narsaq,99,1580171898,61,60.92,-46.05,-10.0,3.1,GL
514,araouane,0,1580171899,11,18.9,-3.53,22.0,2.48,ML
515,suluq,0,1580171899,89,31.67,20.25,11.86,3.76,LY
516,oktyabrskoye,5,1580171900,59,43.06,44.74,-0.92,0.96,RU
517,natal,40,1580171847,78,-5.79,-35.21,28.0,4.1,BR
518,fort frances,90,1580171757,78,48.6,-93.4,-9.0,2.1,CA
519,goundam,100,1580171900,8,16.41,-3.67,23.65,4.55,ML
520,hanumangarh,93,1580171900,91,29.58,74.32,12.42,2.68,IN
521,changli,98,1580171900,73,39.7,119.15,-1.91,2.1,CN
522,mufumbwe,91,1580171900,96,-13.68,24.8,17.36,1.23,ZM
523,ostersund,100,1580171900,98,63.18,14.64,0.56,5.1,SE
524,krasnoselkup,99,1580171901,94,65.7,82.47,-9.68,6.45,RU
525,contamana,94,1580171901,57,-7.33,-75.02,30.06,1.68,PE
526,chumikan,33,1580171901,87,54.72,135.31,-15.67,1.83,RU
527,xining,78,1580171901,70,36.62,101.77,-10.68,1.69,CN
528,roseburg,90,1580171901,71,43.22,-123.34,13.33,2.1,US
529,yueyang,57,1580171901,81,29.33,113.09,1.85,1.02,CN
530,yurty,61,1580171901,88,56.05,97.63,-14.3,1.49,RU
531,inverell,7,1580171901,69,-29.78,151.12,27.78,0.89,AU
532,marrakesh,15,1580171794,75,31.63,-8.01,8.0,1.5,MA
533,tual,54,1580171902,77,-5.67,132.75,28.96,6.58,ID
534,wakkanai,0,1580171902,85,45.41,141.67,-12.0,1.5,JP
535,chupa,68,1580171902,93,66.27,33.05,-18.95,1.21,RU
536,broken hill,0,1580171902,23,-31.95,141.43,28.0,5.7,AU
537,shamkhal,0,1580171902,71,43.06,47.34,0.0,3.0,RU
538,zyryanovsk,100,1580171903,91,49.74,84.27,-6.35,2.12,KZ
539,aripuana,96,1580171903,92,-9.17,-60.63,24.83,0.38,BR
540,fonte boa,24,1580171903,83,-2.5,-66.27,25.79,2.08,BR
541,warri,4,1580171903,83,5.52,5.75,23.84,1.26,NG
542,gizo,67,1580171903,70,-8.1,156.84,28.79,2.48,SB
543,abu samrah,93,1580171903,85,35.3,37.18,8.07,2.46,SY
544,san juan,15,1580171903,30,-31.54,-68.54,30.12,8.93,AR
545,clonakilty,75,1580171903,61,51.62,-8.87,1.67,4.6,IE
546,iskateley,36,1580171904,100,67.68,53.15,-26.7,1.49,RU
547,kasempa,76,1580171904,94,-13.46,25.83,17.19,1.15,ZM
548,novopetrovskoye,75,1580171904,92,55.99,36.47,-5.0,5.0,RU
549,marsa matruh,8,1580171904,81,31.35,27.25,10.0,3.48,EG
550,mezen,98,1580171904,96,65.85,44.24,-14.53,4.46,RU
551,urumqi,75,1580171904,92,43.8,87.6,-13.0,2.0,CN
552,kavieng,31,1580171895,75,-2.57,150.8,29.29,3.39,PG
553,tete,40,1580171905,83,-16.16,33.59,26.0,1.5,MZ
554,eyl,72,1580171905,74,7.98,49.82,24.62,12.34,SO
555,severo-yeniseyskiy,100,1580171905,89,60.37,93.04,-10.08,2.27,RU
556,jardim,14,1580171905,68,-21.48,-56.14,25.72,1.56,BR
557,hillsborough,75,1580171905,67,37.57,-122.38,16.11,5.7,US
558,mitu,83,1580171737,76,1.2,-70.17,26.54,1.1,CO
559,lagodekhi,0,1580171905,86,41.83,46.28,-2.0,1.0,GE
560,angoche,100,1580171905,97,-16.23,39.91,23.75,2.98,MZ
561,kiunga,100,1580171906,82,-6.12,141.29,27.92,1.34,PG
562,rioja,82,1580171841,56,-29.41,-66.85,21.9,2.84,AR
563,samarai,100,1580171817,55,-10.62,150.67,31.72,0.78,PG
564,stonewall,90,1580171906,85,50.13,-97.33,-8.33,0.95,CA
565,mauganj,60,1580171906,47,24.68,81.88,14.84,2.21,IN
566,nipawin,90,1580171906,100,53.37,-104.0,-8.0,2.6,CA
567,kikwit,79,1580171906,63,-5.04,18.82,23.55,0.73,CD
568,lahij,4,1580171907,75,13.17,44.58,21.33,5.14,YE
569,puerto ayacucho,100,1580171907,55,5.66,-67.62,32.0,2.6,VE
570,goderich,97,1580171825,82,43.75,-81.72,1.67,0.45,CA
571,zhangye,55,1580171739,58,38.93,100.45,-7.55,0.66,CN
572,talara,18,1580171907,100,-4.58,-81.27,17.0,2.1,PE
573,constitucion,0,1580171907,76,-35.33,-72.42,16.37,5.68,CL
574,outjo,70,1580171907,82,-20.12,16.15,20.0,0.5,NA
575,canto do buriti,57,1580171898,94,-8.11,-42.94,22.83,0.24,BR
576,karaton,40,1580171826,83,-6.34,106.1,28.33,2.1,ID
577,parkes,0,1580171908,27,-33.13,148.18,36.11,3.16,AU
578,kurilsk,0,1580171908,57,45.23,147.88,-5.4,3.31,RU
